TIME,LOGL,VPH
2.675000000000000E+01,4.233637307915330E+01,5.426386337652350E+08
2.676000000000000E+01,4.233633065213610E+01,5.426250155427380E+08
2.676999999999990E+01,4.233628464871050E+01,5.426172342964180E+08
2.678000000000000E+01,4.233623715837990E+01,5.426119050021240E+08
2.678999999999990E+01,4.233618921200540E+01,5.426057272816600E+08
2.680000000000000E+01,4.233614192462780E+01,5.425994949080940E+08
2.681000000000000E+01,4.233609588582140E+01,5.425932557110790E+08
2.682000000000000E+01,4.233584204913940E+01,5.422225762211770E+08
2.683000000000000E+01,4.233553486671280E+01,5.417707699404890E+08
2.683999999999990E+01,4.233522729280380E+01,5.413189793022370E+08
2.685000000000000E+01,4.233490192438000E+01,5.408671547073350E+08
2.685999999999990E+01,4.233457779731310E+01,5.404170180855190E+08
2.687000000000000E+01,4.233425503217900E+01,5.399687295569180E+08
2.687999999999990E+01,4.233392978175070E+01,5.395225434855700E+08
2.689000000000000E+01,4.233360448657030E+01,5.390764108731320E+08
2.690000000000000E+01,4.233327919138990E+01,5.386302782606940E+08
2.691000000000000E+01,4.233295142946970E+01,5.381841371880790E+08
2.692000000000000E+01,4.233261769844440E+01,5.377379756433100E+08
2.692999999999990E+01,4.233228266693570E+01,5.372921540722540E+08
2.694000000000000E+01,4.233194700145970E+01,5.368468873896430E+08
2.694999999999990E+01,4.233160223224540E+01,5.364016137520550E+08
2.696000000000000E+01,4.233132535450870E+01,5.360593326706720E+08
2.696999999999990E+01,4.233122685114510E+01,5.359579465536480E+08
2.698000000000000E+01,4.233110597392040E+01,5.358158982775820E+08
2.699000000000000E+01,4.233083075015980E+01,5.353959235841010E+08
2.700000000000000E+01,4.233041126679280E+01,5.347162110233370E+08
2.701000000000000E+01,4.232999159806250E+01,5.340360946741780E+08
2.701999999999990E+01,4.232957324198890E+01,5.333550224872270E+08
2.703000000000000E+01,4.232915676758520E+01,5.326739465129580E+08
2.703999999999990E+01,4.232874030476070E+01,5.319928705095090E+08
2.705000000000000E+01,4.232832384193620E+01,5.313117945060600E+08
2.706000000000000E+01,4.232790965203100E+01,5.306306969304470E+08
2.707000000000000E+01,4.232749611549660E+01,5.299495931537910E+08
2.708000000000000E+01,4.232708052109900E+01,5.292684875926210E+08
2.708999999999990E+01,4.232666430678650E+01,5.285873813842640E+08
2.710000000000000E+01,4.232624249704510E+01,5.279062685787380E+08
2.710999999999990E+01,4.232579485290000E+01,5.272440838619260E+08
2.712000000000000E+01,4.232539682897290E+01,5.267054023973000E+08
2.712999999999990E+01,4.232499878373250E+01,5.261667208811220E+08
2.714000000000000E+01,4.232490736602670E+01,5.261173351881400E+08
2.715000000000000E+01,4.232484633117660E+01,5.261165331527750E+08
2.716000000000000E+01,4.232478545653130E+01,5.261166455260720E+08
2.717000000000000E+01,4.232472094078290E+01,5.261171941015790E+08
2.717999999999990E+01,4.232465595507260E+01,5.261177420064020E+08
2.719000000000000E+01,4.232459096936220E+01,5.261182899112240E+08
2.719999999999990E+01,4.232452341742280E+01,5.261188342939770E+08
2.721000000000000E+01,4.232444201589020E+01,5.261193596683400E+08
2.721999999999990E+01,4.232436051252320E+01,5.261198848613820E+08
2.723000000000000E+01,4.232427832022750E+01,5.261204088027140E+08
2.724000000000000E+01,4.232419426625860E+01,5.261209313474510E+08
2.725000000000000E+01,4.232410511290600E+01,5.261214500707000E+08
2.726000000000000E+01,4.232402592989710E+01,5.261219519030970E+08
2.726999999999990E+01,4.232394972037760E+01,5.261224416985850E+08
2.728000000000000E+01,4.232387576272920E+01,5.261229197912930E+08
2.728999999999990E+01,4.232381114052640E+01,5.261233505825870E+08
2.730000000000000E+01,4.232374654514580E+01,5.261237813437860E+08
2.731000000000000E+01,4.232368086641790E+01,5.261242108751120E+08
2.732000000000000E+01,4.232361071530290E+01,5.261246365825030E+08
2.733000000000000E+01,4.232354047799100E+01,5.261250622131740E+08
2.733999999999990E+01,4.232347024067910E+01,5.261254878438440E+08
2.735000000000000E+01,4.232339293998360E+01,5.261259058227030E+08
2.735999999999990E+01,4.232330630065540E+01,5.261263136849750E+08
2.737000000000000E+01,4.232321480582520E+01,5.261180712761490E+08
2.737999999999990E+01,4.232310779999060E+01,5.260821262985060E+08
2.739000000000000E+01,4.232297406823190E+01,5.259943473345060E+08
2.740000000000000E+01,4.232279328412050E+01,5.258157703724520E+08
2.741000000000000E+01,4.232261428333420E+01,5.256367664380450E+08
2.742000000000000E+01,4.232242589658670E+01,5.254563958762740E+08
2.742999999999990E+01,4.232217929816800E+01,5.252760050795960E+08
2.744000000000000E+01,4.232183797428170E+01,5.250955814070450E+08
2.744999999999990E+01,4.232149668604330E+01,5.249151576975240E+08
2.746000000000000E+01,4.232115715884630E+01,5.247347322629300E+08
2.746999999999990E+01,4.232082069077150E+01,5.245543044732200E+08
2.748000000000000E+01,4.232048426968850E+01,5.243738766523400E+08
2.749000000000000E+01,4.232014784860560E+01,5.241934488314600E+08
2.750000000000000E+01,4.231973686728890E+01,5.238818531048640E+08
2.751000000000000E+01,4.231927587312350E+01,5.234822737257890E+08
2.751999999999990E+01,4.231882043997200E+01,5.230914929743470E+08
2.753000000000000E+01,4.231838244316230E+01,5.227282719680020E+08
2.753999999999990E+01,4.231797460460720E+01,5.224156192322260E+08
2.755000000000000E+01,4.231762135175990E+01,5.221950512381360E+08
2.756000000000000E+01,4.231726285717800E+01,5.219748360129410E+08
2.757000000000000E+01,4.231689917108350E+01,5.217557873156100E+08
2.758000000000000E+01,4.231649896938500E+01,5.215364042025240E+08
2.758999999999990E+01,4.231605567197570E+01,5.213169990474250E+08
2.760000000000000E+01,4.231561241508380E+01,5.210975938604140E+08
2.760999999999990E+01,4.231515194323910E+01,5.208503925511370E+08
2.762000000000000E+01,4.231467317362780E+01,5.205736496591070E+08
2.762999999999990E+01,4.231419421611740E+01,5.202966063133640E+08
2.764000000000000E+01,4.231371525860710E+01,5.200195629676220E+08
