TIME,LOGL,VPH
2.93E+01,4.20496617955266E+01,4.30669229148747E+08
2.93E+01,4.20496505453903E+01,4.30667716352452E+08
2.94E+01,4.20496394621039E+01,4.30667052188613E+08
2.94E+01,4.20496198660009E+01,4.30647060712342E+08
2.94E+01,4.20495795394903E+01,4.30580782610106E+08
2.94E+01,4.20495294014545E+01,4.30493574862187E+08
2.94E+01,4.20494792394883E+01,4.30406367057532E+08
2.94E+01,4.20494290363208E+01,4.30319159155188E+08
2.94E+01,4.20493788103777E+01,4.30231951223420E+08
2.94E+01,4.20493285459178E+01,4.30144783274260E+08
2.94E+01,4.20492782625855E+01,4.30057815422953E+08
2.94E+01,4.20492234156934E+01,4.29955267802915E+08
2.94E+01,4.20491640219453E+01,4.29834269306943E+08
2.95E+01,4.20491048058401E+01,4.29707148144917E+08
2.95E+01,4.20490456774382E+01,4.29573756938508E+08
2.95E+01,4.20489868228767E+01,4.29438295203586E+08
2.95E+01,4.20489291524393E+01,4.29299786388023E+08
2.95E+01,4.20488722224347E+01,4.29159389564528E+08
2.95E+01,4.20488156409074E+01,4.29018241587834E+08
2.95E+01,4.20487595623142E+01,4.28876009523747E+08
2.95E+01,4.20487035538167E+01,4.28733777446360E+08
2.95E+01,4.20486483317086E+01,4.28594184368529E+08
2.96E+01,4.20486072896616E+01,4.28506193982010E+08
2.96E+01,4.20485741194029E+01,4.28450615868700E+08
2.96E+01,4.20485409491442E+01,4.28395037755390E+08
2.96E+01,4.20485093270113E+01,4.28332552895276E+08
2.96E+01,4.20484777896099E+01,4.28269309938078E+08
2.96E+01,4.20484461737101E+01,4.28204312335863E+08
2.96E+01,4.20484145731216E+01,4.28139162769511E+08
2.96E+01,4.20483826557901E+01,4.28077407841563E+08
2.96E+01,4.20483479193737E+01,4.28042642007426E+08
2.96E+01,4.20483144379110E+01,4.28014530888757E+08
2.97E+01,4.20482815714485E+01,4.27989916957053E+08
2.97E+01,4.20482489663884E+01,4.27969929034029E+08
2.97E+01,4.20482159938386E+01,4.27950275702075E+08
2.97E+01,4.20481820189970E+01,4.27934971911082E+08
2.97E+01,4.20481480441554E+01,4.27919668120088E+08
2.97E+01,4.20481136309293E+01,4.27906006925409E+08
2.97E+01,4.20480790883806E+01,4.27892466206312E+08
2.97E+01,4.20480437891895E+01,4.27878224878565E+08
2.97E+01,4.20480067684373E+01,4.27863982802736E+08
2.97E+01,4.20479686124677E+01,4.27849739710203E+08
2.98E+01,4.20479304793996E+01,4.27835496285110E+08
2.98E+01,4.20478922708107E+01,4.27824030467529E+08
2.98E+01,4.20478539379593E+01,4.27817134949863E+08
2.98E+01,4.20478155421341E+01,4.27811861961486E+08
2.98E+01,4.20477770899420E+01,4.27807091178716E+08
2.98E+01,4.20477385354474E+01,4.27802460356042E+08
2.98E+01,4.20477049837478E+01,4.27777288572965E+08
2.98E+01,4.20476728994183E+01,4.27740907570658E+08
2.98E+01,4.20476397858395E+01,4.27704526497323E+08
2.98E+01,4.20476060376215E+01,4.27668145307616E+08
2.99E+01,4.20475728106791E+01,4.27632171654438E+08
2.99E+01,4.20475407593636E+01,4.27596308699809E+08
2.99E+01,4.20475099408648E+01,4.27560445717310E+08
2.99E+01,4.20474793313305E+01,4.27524582721374E+08
2.99E+01,4.20474493638035E+01,4.27488719684151E+08
2.99E+01,4.20474195406583E+01,4.27453246932430E+08
2.99E+01,4.20473898482267E+01,4.27417747595493E+08
2.99E+01,4.20473586671575E+01,4.27325989007773E+08
2.99E+01,4.20473255466945E+01,4.27196909869278E+08
2.99E+01,4.20472924262315E+01,4.27067830730782E+08
2.99E+01,4.20472592949365E+01,4.26938751443501E+08
3.00E+01,4.20472262279431E+01,4.26809672072329E+08
3.00E+01,4.20471933341644E+01,4.26680592665990E+08
3.00E+01,4.20471604510240E+01,4.26551513257726E+08
3.00E+01,4.20471275740238E+01,4.26422433848351E+08
3.00E+01,4.20470963804543E+01,4.26324363340916E+08
3.05E+01,4.20454220335740E+01,4.24011122500978E+08
3.10E+01,4.20443173866466E+01,4.21409099242479E+08
3.15E+01,4.20431599021088E+01,4.18735273353111E+08
3.20E+01,4.20421733421633E+01,4.15701300129165E+08
3.25E+01,4.20415403257145E+01,4.13565333979729E+08
3.30E+01,4.20401177937029E+01,4.12137243965968E+08
3.35E+01,4.20386859109547E+01,4.09886991005002E+08
3.40E+01,4.20360637488544E+01,4.07167439600702E+08
3.45E+01,4.20347565241580E+01,4.05563320118541E+08
3.50E+01,4.20335229764209E+01,4.03977069655891E+08
3.55E+01,4.20320323408886E+01,4.01973816024471E+08
3.60E+01,4.20307614866157E+01,3.99785740949576E+08
3.65E+01,4.20298263354907E+01,3.98371850571242E+08
3.70E+01,4.20291799819309E+01,3.96513894982600E+08
3.75E+01,4.20283838720633E+01,3.95141671294925E+08
3.80E+01,4.20270620487767E+01,3.92905872612458E+08
3.85E+01,4.20260569972120E+01,3.91119423675264E+08
3.90E+01,4.20250248772746E+01,3.89878821607249E+08
3.95E+01,4.20239938570519E+01,3.88307624701051E+08
4.00E+01,4.20225945110698E+01,3.86224280577982E+08
4.05E+01,4.20209256083356E+01,3.84617070858977E+08
4.10E+01,4.20195173409365E+01,3.82970153261224E+08
4.15E+01,4.20184771982876E+01,3.81632363191453E+08
4.20E+01,4.20173356290016E+01,3.79469835431461E+08
4.25E+01,4.20162415791882E+01,3.78514028589179E+08
4.30E+01,4.20150815748464E+01,3.76430245440050E+08
4.35E+01,4.20141739577813E+01,3.74860973415406E+08
4.40E+01,4.20132554823256E+01,3.73440829951988E+08
4.45E+01,4.20123807744945E+01,3.71911608928273E+08
4.50E+01,4.20109865848066E+01,3.70500632076612E+08
4.55E+01,4.20097160367592E+01,3.69137765269115E+08
4.60E+01,4.20085407726262E+01,3.67791985673379E+08
4.65E+01,4.20073497375491E+01,3.66558177556085E+08
4.70E+01,4.20060648000849E+01,3.64956355797525E+08
4.75E+01,4.20046147200591E+01,3.63451778236118E+08
4.80E+01,4.20030643558685E+01,3.62140823215115E+08
4.85E+01,4.20016036359579E+01,3.61064070462491E+08
4.90E+01,4.20001982271867E+01,3.59600202033986E+08
4.95E+01,4.19987768268689E+01,3.58066079058756E+08
