TIME,LOGL,VPH
1.65E+00,3.58896865623402E+01,8.81282735445967E+06
1.66E+00,3.59230076027278E+01,1.36531515379623E+07
1.67E+00,3.59399039956430E+01,1.80734009629295E+07
1.68E+00,3.59382075867365E+01,2.17371225554568E+07
1.69E+00,3.59275812691766E+01,2.36554157293840E+07
1.70E+00,3.59188300521557E+01,2.41290915208987E+07
1.71E+00,3.59139457897685E+01,2.39965237256503E+07
1.72E+00,3.59120079935946E+01,2.37691858503093E+07
1.73E+00,3.59117453845787E+01,2.36618246936678E+07
1.74E+00,3.59118655933399E+01,2.38099946322933E+07
1.75E+00,3.59087032200691E+01,2.55936319273836E+07
1.76E+00,3.59005302080598E+01,2.70935213093082E+07
1.77E+00,3.58901681875549E+01,2.83926573452116E+07
1.78E+00,3.58798446433757E+01,2.94752103295761E+07
1.79E+00,3.58702328604175E+01,3.03124377782389E+07
1.80E+00,3.58788473618987E+01,3.10380103813193E+07
1.81E+00,3.69075749303356E+01,3.16646513174996E+07
1.82E+00,3.98785921015548E+01,3.24121012331356E+07
1.83E+00,4.06455892319115E+01,3.48587615038303E+07
1.84E+00,4.13003689562355E+01,4.32031118626293E+07
1.85E+00,4.19526628342174E+01,6.20628931181253E+07
1.86E+00,4.23472678085355E+01,9.19941302978777E+07
1.87E+00,4.25768926016951E+01,1.24642227822440E+08
1.88E+00,4.26640952605631E+01,1.53018362661495E+08
1.89E+00,4.26234452767271E+01,1.72567317224706E+08
1.90E+00,4.25463383323125E+01,1.80070826178841E+08
1.91E+00,4.24955417512201E+01,1.80603015840865E+08
1.92E+00,4.24733604443104E+01,1.79693980005887E+08
1.93E+00,4.24648545804997E+01,1.79803170131262E+08
1.94E+00,4.24393767461249E+01,1.89487108293098E+08
1.95E+00,4.23530019560429E+01,2.01892804846027E+08
1.96E+00,4.22436279287045E+01,2.11890725064147E+08
1.97E+00,4.21403033786904E+01,2.19541390563627E+08
1.98E+00,4.20484774046857E+01,2.25612023500224E+08
1.99E+00,4.19690727500676E+01,2.30756451890067E+08
2.00E+00,4.18982029002681E+01,2.35110228725611E+08
2.01E+00,4.18341405043816E+01,2.38754100583607E+08
2.02E+00,4.17758655754748E+01,2.42238141808974E+08
2.03E+00,4.17220674524055E+01,2.45193550412202E+08
2.04E+00,4.16720207754336E+01,2.47938737494212E+08
2.05E+00,4.16250577661921E+01,2.50316889365545E+08
2.06E+00,4.15811163573171E+01,2.52620965238605E+08
2.07E+00,4.15400881727662E+01,2.54723725902136E+08
2.08E+00,4.15017981078027E+01,2.56598088459462E+08
2.09E+00,4.14659794821826E+01,2.58413687498325E+08
2.10E+00,4.14320032164387E+01,2.60082330169475E+08
2.11E+00,4.14000341456658E+01,2.61595171572424E+08
2.12E+00,4.13701832104053E+01,2.63084620239377E+08
2.13E+00,4.13424376371476E+01,2.64487670888948E+08
2.14E+00,4.13167870989976E+01,2.65779061383809E+08
2.15E+00,4.12929074022214E+01,2.66992193918623E+08
2.16E+00,4.12703748080912E+01,2.68198550168962E+08
2.17E+00,4.12492758311992E+01,2.69322135735832E+08
2.18E+00,4.12295944092437E+01,2.70368040415436E+08
2.19E+00,4.12114496333658E+01,2.71340966000655E+08
2.20E+00,4.11947665352224E+01,2.72261591998032E+08
2.21E+00,4.11795960124938E+01,2.73174616282727E+08
2.22E+00,4.11657974351788E+01,2.74054294442111E+08
2.23E+00,4.11531343657266E+01,2.74886741282445E+08
2.24E+00,4.11415253203610E+01,2.75681623630516E+08
2.25E+00,4.11309211501188E+01,2.76448639928627E+08
2.26E+00,4.11212546091344E+01,2.77211928435179E+08
2.27E+00,4.11125392226360E+01,2.77940907723673E+08
2.28E+00,4.11047011180487E+01,2.78634403186294E+08
2.29E+00,4.10977062664933E+01,2.79294172930627E+08
2.30E+00,4.10915663790592E+01,2.79920760312668E+08
2.31E+00,4.10863022380968E+01,2.80518049017067E+08
2.32E+00,4.10820228743261E+01,2.81090714792152E+08
2.33E+00,4.10802341020538E+01,2.81643100316096E+08
2.34E+00,4.10948458337666E+01,2.82179521575939E+08
2.35E+00,4.11262018097332E+01,2.82714001150423E+08
2.36E+00,4.11416072033953E+01,2.83238803595894E+08
2.37E+00,4.11462123965542E+01,2.83767641161136E+08
2.38E+00,4.11509852458229E+01,2.84320770761286E+08
2.39E+00,4.11577618550721E+01,2.84912545883300E+08
2.40E+00,4.11634868467119E+01,2.85563641956049E+08
2.41E+00,4.11679266474880E+01,2.86261936449118E+08
2.42E+00,4.11714719346797E+01,2.86968054772833E+08
2.43E+00,4.11743220907406E+01,2.87655420627714E+08
2.44E+00,4.11764155727870E+01,2.88304129662829E+08
2.45E+00,4.11777242887858E+01,2.88914078140323E+08
2.46E+00,4.11784537082042E+01,2.89454919625848E+08
2.47E+00,4.11790131741728E+01,2.89915595529806E+08
2.48E+00,4.11796844028984E+01,2.90310693215706E+08
2.49E+00,4.11805321534992E+01,2.90662674316866E+08
2.50E+00,4.11814996224688E+01,2.90989798669945E+08
2.51E+00,4.11825019740621E+01,2.91304069595478E+08
2.52E+00,4.11836793628608E+01,2.91612835409229E+08
2.53E+00,4.11850353823784E+01,2.91919574880990E+08
2.54E+00,4.11864603922546E+01,2.92232391421486E+08
2.55E+00,4.11877367265948E+01,2.92607300399912E+08
2.56E+00,4.11885773378748E+01,2.93006663234219E+08
2.57E+00,4.11890989960955E+01,2.93360712490140E+08
2.58E+00,4.11894303034096E+01,2.93713027953618E+08
2.59E+00,4.11896145383768E+01,2.94052737336932E+08
2.60E+00,4.11897198914815E+01,2.94364901232399E+08
2.61E+00,4.11897384201869E+01,2.94672645184195E+08
2.62E+00,4.11896403717305E+01,2.94969490267022E+08
2.63E+00,4.11893973551782E+01,2.95258969614007E+08
2.64E+00,4.11890144727083E+01,2.95533429783262E+08
2.65E+00,4.11885894486388E+01,2.95802152834659E+08
2.66E+00,4.11881219574038E+01,2.96065260312494E+08
2.67E+00,4.11875789754397E+01,2.96320440554369E+08
2.68E+00,4.11869690341418E+01,2.96568897729032E+08
2.69E+00,4.11862881935324E+01,2.96812114355939E+08
2.70E+00,4.11855326058697E+01,2.97048176701879E+08
2.71E+00,4.11847134853268E+01,2.97277083218461E+08
2.72E+00,4.11838188022030E+01,2.97500974767125E+08
2.73E+00,4.11828478617334E+01,2.97721367499779E+08
2.74E+00,4.11817930010208E+01,2.97935265417127E+08
2.75E+00,4.11806619489284E+01,2.98144162735781E+08
2.76E+00,4.11794479226456E+01,2.98347774268392E+08
2.77E+00,4.11781594644402E+01,2.98547507034627E+08
2.78E+00,4.11767910894691E+01,2.98742805201365E+08
2.79E+00,4.11753292333302E+01,2.98933320810438E+08
2.80E+00,4.11737792101768E+01,2.99119064929822E+08
2.81E+00,4.11721574730815E+01,2.99300545474027E+08
2.82E+00,4.11704655277308E+01,2.99477746124122E+08
